quarter,price,shares,etf_value,cash,total,quarterly_growth_pct,action,trade_amount,thirty_down_active,thirty_down_triggered,hundred_up_triggered
2016-03-31,2.133331,1406.2515380876198,3000.0,2000.0,5000.0,,INIT,0.0,False,False,False
2016-06-30,2.0066645,1629.5698658146396,3270.0000000000005,1551.8750395508237,4821.875039550824,-5.937498681639194,BUY,448.12496044917634,False,False,False
2016-09-30,2.6789555,1330.4812267318366,3564.3000000000006,2353.120194209213,5917.420194209213,33.50290992839112,SELL,-801.2451546583893,False,False,False
2016-12-31,2.6506225,1465.7262586430172,3885.087000000001,1994.6366696122195,5879.72366961222,-1.0576136856323275,BUY,358.48352459699345,False,False,False
2017-03-31,3.675413,1152.182035052932,4234.7448300000015,3147.0411850701257,7381.786015070127,38.66225763947902,SELL,-1152.4045154579062,False,False,False
2017-06-30,4.0691625,1134.3542718434082,4615.871864700002,3219.5852505812,7835.457115281202,10.713068164040346,SELL,-72.54406551107422,False,False,False
2017-09-30,4.760412,1056.9043882174492,5031.300332523004,3588.2786059928194,8619.578938515824,16.987512786722075,SELL,-368.69335541161945,False,False,False
2017-12-31,5.779994,948.8102171818991,5484.117362450074,4213.062266013272,9697.179628463346,21.41793609460695,SELL,-624.7836600204528,False,False,False
2018-03-31,5.9966605,996.8361432284822,5977.6879250705815,3925.067092313807,9902.755017384388,3.748559254559774,BUY,287.99517369946534,False,False,False
2018-06-30,7.13875,912.7199913608033,6515.679838326934,4525.5512714592,11041.231109786135,19.045425366335145,SELL,-600.4841791453928,False,False,False
2018-09-30,8.8925,798.6607842312465,7102.091023776359,5539.822770858784,12641.913794635144,24.566625809840662,SELL,-1014.2714993995842,False,False,False
2018-12-31,4.63,1671.9825520337433,7741.279215916232,1496.3429859332227,9237.622201849455,-47.93365195389373,30DOWN_BUY,4043.479784925561,True,True,False
2019-03-31,7.0825,1671.9825520337433,11841.816424778986,1496.3429859332227,13338.15941071221,52.96976241900647,30DOWN_IGNORE_SELL_1,0.0,True,False,False
2019-06-30,7.72125,1119.4667909333666,8643.682959494257,5762.455306329506,14406.138265823764,9.018708083303931,30DOWN_RESET_REBALANCE,-4266.112320396283,False,False,False
2019-09-30,7.70375,1222.9906767287025,9421.614425848742,4964.933171133687,14386.54759698243,-0.22664723976040238,BUY,797.5221351958189,False,False,False
2019-12-31,10.81875,949.2371784332876,10269.55972417513,7926.603830817208,18196.163554992338,40.43485315593055,SELL,-2961.670659683521,False,False,False
2020-03-31,5.955,1879.7346934258426,11193.820099350893,2385.4911290365435,13579.311228387436,-44.95667244367417,30DOWN_BUY,5541.112701780665,True,True,False
2020-06-30,12.20625,1245.0999806164416,15198.00163839944,10132.001092266295,25330.002730665736,104.97481108312343,100UP_REBALANCE,-7746.509963229753,False,False,True
2020-09-30,16.3625,1012.4260831691606,16565.82178585539,13939.12773924743,30504.94952510282,34.05017921146953,SELL,-3807.1266469811344,False,False,False
2020-12-31,22.725,794.5762704766723,18056.74574658238,18889.764732684227,36946.51047926661,38.88464476699771,SELL,-4950.636993436798,False,False,False
2021-03-31,22.815,862.6716135776811,19681.852863774795,17336.169479834713,37018.02234360951,0.39603960396039534,BUY,1553.5952528495145,False,False,False
2021-06-30,30.625,700.5132937637396,21453.219621514527,22302.26802413667,43755.4876456512,34.23186500109576,SELL,-4966.098544301956,False,False,False
2021-09-30,31.1425,750.8712976623854,23384.009387450835,20733.993887723092,44118.00327517393,1.6897959183673414,BUY,1568.2741364135763,False,False,False
2021-12-31,41.5825,612.9638725983625,25488.57023232141,26468.529390447824,51957.09962276924,33.523320221562194,SELL,-5734.5355027247315,False,False,False
2022-03-31,29.09,955.0547113520227,27782.541553230338,16517.106891103853,44299.64844433419,-30.042686226176883,30DOWN_BUY,9951.422499343971,True,True,False
2022-06-30,12.0,2331.480285610677,27977.763427328126,0.0,27977.763427328126,-58.74871089721554,30DOWN_BUY,16517.106891103853,True,True,False
2022-09-30,9.66,2331.480285610677,22522.09955899914,0.0,22522.09955899914,-19.499999999999996,30DOWN_BUY,0.0,True,True,False
2022-12-31,8.65,2331.480285610677,20167.30447053236,0.0,20167.30447053236,-10.455486542443062,30DOWN_BUY,0.0,True,True,False
2023-03-31,14.13,2331.480285610677,32943.81643567887,0.0,32943.81643567887,63.35260115606937,30DOWN_IGNORE_SELL_1,0.0,True,True,False
2023-06-30,20.5,1398.8881713664061,28677.207513011326,19118.138342007554,47795.34585501888,45.08138711960367,30DOWN_RESET_REBALANCE,-19118.138342007554,False,True,False
2023-09-30,17.81,1755.0901846817715,31258.156189182348,12774.180484860899,44032.33667404325,-13.121951219512201,30DOWN_BUY,6343.957857146655,True,True,False
2023-12-31,25.35,1755.0901846817715,44491.53618168291,12774.180484860899,57265.71666654381,42.33576642335768,30DOWN_IGNORE_SELL_1,0.0,True,True,False
2024-03-31,30.78,1302.0634769856883,40077.51382161949,26718.34254774633,66795.85636936582,21.420118343195263,30DOWN_RESET_REBALANCE,-13944.162062885436,False,False,False
2024-06-30,36.91,1183.5407766341168,43684.490065565245,31093.01541772284,74777.50548328809,19.915529564652356,SELL,-4374.672869976508,False,False,False
2024-09-30,36.245,1313.7286293686336,47616.094171466124,26374.35669536028,73990.4508668264,-1.8016797615822249,BUY,4718.658722362561,False,False,False
2024-12-31,39.565,1311.804439451487,51901.54264689808,26450.487269432182,78352.02991633027,9.159884121947856,SELL,-76.13057407190354,False,False,False
2025-03-31,28.65,1974.6136644020564,56572.68148511891,7461.00297459837,64033.68445971728,-27.58751421711108,BUY,18989.484294833812,False,False,False
2025-06-30,41.5,1485.884887199509,61664.22281877962,27743.247228504086,89407.47004728371,44.85165794066318,SELL,-20282.244253905716,False,False,False
2025-09-30,51.7,1300.0774249994156,67214.00287246979,37349.493024248906,104563.4958967187,24.578313253012055,SELL,-9606.24579574482,False,False,False
2025-12-31,52.72,1389.6673583268605,73263.26313099208,32626.311739226017,105889.5748702181,1.9729206963249437,BUY,4723.181285022889,False,False,False
2026-03-31,56.755,1407.0470762537464,79856.95681278138,31639.92584828561,111496.882661067,7.653641881638854,BUY,986.385890940408,False,False,False
